6	8.255507e-02	1.857281e-01	2.275684e-01	1	SAMD11
8	7.581652e-02	8.140496e-02	1.139438e-01	1	NOC2L
9	4.862386e-01	1.561545e-01	4.933478e-01	1	KLHL17
10	1.524948e-01	3.491811e-01	2.442334e-01	1	PLEKHN1
11	7.241819e-02	2.671176e-01	2.386616e-01	1	C1orf170
12	8.312299e-01	9.197433e-01	8.181354e-01	1	HES4
13	5.472838e-01	5.011186e-01	7.563868e-01	0	ISG15
14	8.452918e-01	4.039537e-01	8.579166e-01	0	AGRN
16	8.203799e-01	9.625168e-01	8.290460e-01	1	C1orf159
17	3.279966e-01	6.899003e-01	3.460109e-01	0	TTLL10
18	4.652840e-01	3.609020e-01	5.730137e-01	1	TNFRSF18
19	8.364280e-01	8.063461e-01	8.357652e-01	0	TNFRSF4
20	2.828560e-01	4.869231e-01	3.530947e-01	1	SDF4
21	9.130354e-01	6.987371e-01	8.969193e-01	0	B3GALT6
22	2.492711e-01	3.222705e-01	2.474464e-01	1	FAM132A
23	7.875934e-01	8.071915e-01	8.397218e-01	1	UBE2J2
24	5.723090e-01	6.449049e-01	5.919388e-01	1	SCNN1D
25	9.541220e-01	9.210457e-01	9.553703e-01	1	ACAP3
26	1.596764e-01	8.391968e-02	1.596875e-01	1	PUSL1
27	3.356329e-01	6.146573e-01	3.779690e-01	1	CPSF3L
28	4.736227e-01	4.566286e-01	5.307005e-01	1	GLTPD1
29	8.929673e-02	1.667928e-01	9.510184e-02	1	TAS1R3
30	1.604373e-02	3.409201e-02	2.638080e-02	1	DVL1
31	4.909680e-01	2.742626e-01	4.626696e-01	1	MXRA8
32	1.645549e-01	1.612184e-01	2.205656e-01	1	AURKAIP1
33	8.623045e-01	8.710727e-01	8.599999e-01	0	CCNL2
34	3.230942e-01	3.367242e-01	3.282275e-01	1	RP4-758J18.2
35	1.234683e-01	1.402786e-01	1.428332e-01	1	MRPL20
36	9.200573e-01	6.739868e-01	9.225183e-01	1	ANKRD65
38	7.811111e-01	7.651924e-01	8.266201e-01	1	VWA1
39	1.922763e-01	1.464332e-01	2.066002e-01	0	ATAD3C
40	2.356081e-02	1.115834e-02	2.978961e-02	1	ATAD3B
41	5.739133e-01	2.659746e-01	5.956827e-01	1	ATAD3A
42	2.955731e-01	2.429107e-01	3.274414e-01	1	TMEM240
43	9.815236e-01	7.788326e-01	9.921554e-01	0	SSU72
44	3.065764e-01	5.390740e-01	3.798041e-01	1	AL645728.1
