6	-0.007229	6.826390e-01	SAMD11
8	-0.005910	5.035119e-01	NOC2L
9	0.031647	2.025902e-02	KLHL17
10	0.009151	3.187253e-01	PLEKHN1
11	0.029111	1.014370e-01	C1orf170
12	-0.010990	6.954633e-01	HES4
13	-0.004931	8.880646e-01	ISG15
14	0.005327	7.756232e-01	AGRN
16	0.003198	7.135769e-01	C1orf159
17	-0.000180	9.894156e-01	TTLL10
18	-0.031245	1.043942e-01	TNFRSF18
19	0.030984	3.574484e-01	TNFRSF4
20	0.003852	6.208720e-01	SDF4
21	-0.021791	6.058721e-02	B3GALT6
22	0.017713	2.477086e-01	FAM132A
23	0.003591	6.617251e-01	UBE2J2
24	-0.021761	1.441691e-01	SCNN1D
25	0.022324	9.529490e-02	ACAP3
26	0.009557	4.917573e-01	PUSL1
27	0.005843	4.780568e-01	CPSF3L
28	-0.005535	6.291548e-01	GLTPD1
29	0.009504	6.439223e-02	TAS1R3
30	0.012210	1.943082e-01	DVL1
31	0.006077	7.009583e-01	MXRA8
32	0.003844	6.264449e-01	AURKAIP1
33	0.020756	9.126299e-02	CCNL2
34	-0.017278	3.535395e-01	RP4-758J18.2
35	-0.000218	9.768625e-01	MRPL20
36	0.018403	4.081778e-01	ANKRD65
38	-0.023538	1.865174e-01	VWA1
39	0.018009	2.432447e-01	ATAD3C
40	0.026638	6.798937e-02	ATAD3B
41	0.002607	7.890710e-01	ATAD3A
42	0.039430	1.594093e-02	TMEM240
43	0.001987	8.086418e-01	SSU72
44	0.016595	1.793739e-01	AL645728.1
45	-0.001848	8.924584e-01	C1orf233
46	0.008685	5.034839e-01	MIB2
47	-0.001905	9.288176e-01	MMP23B
48	-0.020469	3.382661e-01	SLC35E2B
49	0.000189	9.913194e-01	CDK11A
50	0.009776	4.801756e-01	SLC35E2
51	-0.015217	2.394451e-01	NADK
52	0.000211	9.718424e-01	GNB1
53	-0.006104	6.059182e-01	CALML6
54	0.021673	1.998241e-01	TMEM52
56	-0.004261	7.785683e-01	GABRD
57	-0.000608	9.211096e-01	PRKCZ
58	-0.002823	7.331605e-01	C1orf86
59	0.005726	6.432913e-01	SKI
60	0.002437	7.758375e-01	MORN1
61	0.016750	3.970300e-02	RER1
62	-0.021096	4.036255e-02	PEX10
63	-0.000426	9.651256e-01	PLCH2
64	0.010503	1.672083e-01	PANK4
65	-0.017153	1.611514e-01	HES5
66	0.013439	3.519509e-01	TNFRSF14
67	-0.028182	4.289034e-02	FAM213B
68	0.001624	8.399591e-01	MMEL1
69	0.005933	1.675930e-01	TTC34
71	-0.004788	7.762818e-01	PRDM16
72	0.046895	4.558530e-02	ARHGEF16
73	-0.031592	2.216496e-01	MEGF6
74	0.017309	8.322225e-02	TPRG1L
75	0.016676	6.564967e-02	WRAP73
76	0.010827	5.575071e-03	TP73
78	-0.004816	4.689034e-01	LRRC47
79	0.002998	7.192154e-01	CEP104
80	0.017960	6.769753e-02	DFFB
81	0.025907	2.354744e-02	C1orf174
82	-0.009697	3.296895e-01	AJAP1
83	-0.012702	2.315748e-01	NPHP4
84	-0.035038	6.814662e-03	KCNAB2
85	0.006579	4.887509e-01	CHD5
86	-0.005787	5.218960e-01	RPL22
87	-0.002038	9.033448e-01	RNF207
88	-0.024862	8.710093e-02	ICMT
90	-0.037497	1.273621e-01	GPR153
91	-0.015276	2.844117e-01	ACOT7
93	0.006102	4.667430e-01	ESPN
94	0.044734	5.826701e-02	TNFRSF25
95	0.018492	4.446376e-01	PLEKHG5
96	-0.007158	4.419612e-01	NOL9
97	-0.002852	5.226164e-01	TAS1R1
98	0.008167	3.754980e-01	ZBTB48
